id, acces_services _ Ville_q1, acces_services _ Ville_q2_1, acces_services _ Ville_q2_2, acces_services _ Ville_q2_3, acces_services _ Ville_q2_4, acces_services _ Ville_q2_5,acces_services _ Ville_q2_6, acces_services _ Ville_q2_7, acces_services _ Ville_q2_8, acces_services _ Ville_q3, acces_services _ Ville_q4, acces_services _ Ville_q5, acces_services _ Ville_q6_1, acces_services _ Ville_q6_2, acces_services _ Ville_q6_3, acces_services _ Ville_q6_4, acces_services _ Ville_q6_5, acces_services _ Ville_q6_6, acces_services _ Ville_q6_7, acces_services _ Ville_q7_1, acces_services _ Ville_q7_2, acces_services _ Ville_q7_3, acces_services _ Ville_q7_4, acces_services _ Ville_q7_5, acces_services _ Ville_q8_1, acces_services _ Ville_q8_2, acces_services _ Ville_q8_3, acces_services _ Ville_q8_4, acces_services _ Ville_q8_5, acces_services _ Ville_q9,milieu_et_qualite_ de_vie_q10_1,milieu_et_qualite_de_vie_q10_2,milieu_et_qualite_ de_vie_q10_3,milieu_et_qualite_de_vie_q10_4,milieu_et_qualite_de_vie_q10_5,milieu_et_qualite_de_vie_q10_6,milieu_et_qualite_de_vie_q10_7,milieu_et_qualite_de_vie_q10_8,milieu_et_qualite_de_vie_q10_9,milieu_et_qualite_de_vie_q11_1,milieu_et_qualite_de_vie_q11_2,milieu_et_qualite_de_vie_q11_3,milieu_et_qualite_de_vie_q11_4,milieu_et_qualite_de_vie_q11_5,milieu_et_qualité_de_vie_q11_6,milieu_et_qualite_de_vie_q11_7,milieu_et_qualite_de_vie_q11_8,milieu_et_qualite_de_vie_q12,securité_dans_espace_public_q13,securité_dans_espace_public_q14_1,securité_dans_espace_public_q14_2,securité_dans_espace_public_q14_3,securité_dans_espace_public_q14_4,securité_dans_espace_public_q14_5,securité_dans_espace_public_q14_6,securité_dans_espace_public_q14_7,securité_dans_espace_public_q14_8,securité_dans_espace_public_q14_9,securité_dans_espace_public_q14_10,securité_dans_espace_public_q14_11,securité_dans_espace_public_q15_1,securité_dans_espace_public_q15_2,securité_dans_espace_public_q15_3,securité_dans_espace_public_q15_4,securité_dans_espace_public_q15_5,securité_dans_espace_public_q15_6,securité_dans_espace_public_q15_7,securité_dans_espace_public_q15_8,securité_dans_espace_public_q15_9,securité_dans_espace_public_q16,securité_dans_espace_public_q17_1,securité_dans_espace_public_q17_2,securité_dans_espace_public_q17_3,securité_dans_espace_public_q17_4,securité_dans_espace_public_q17_5,securité_dans_espace_public_q17_6,securité_dans_espace_public_q17_7,securité_dans_espace_public_q17_8,securité_dans_espace_public_q17_9,securité_dans_espace_public_q18,participation_citoyenne_q19,participation_citoyenne_q20,participation_citoyenne_q21_1,participation_citoyenne_q21_2,participation_citoyenne_q21_3,participation_citoyenne_q21_4,participation_citoyenne_q21_5,participation_citoyenne_q21_6,participation_citoyenne_q21_7,piste_action_q22_1,piste_action_q22_2,piste_action_q22_3,piste_action_q22_4,piste_action_q22_5,piste_action_q22_6,piste_action_q22_7,piste_action_q22_8,piste_action_q22_9,piste_action_q22_10,piste_action_q23_1,piste_action_q23_2,piste_action_q23_3,piste_action_q23_4,piste_action_q23_5,piste_action_q23_6,piste_action_q23_7,piste_action_q23_8,profil_q25,profil_q26,profil_q27,profil_q28,profil_q29,profil_q30,profil_q31,profil_q32,profil_q33,profil_q34,profil_q35,profil_q36,profil_q37,interet_participer_groupe_discussion_q38,interet_participer_groupe_discussion_q40
450,Non,,,,,,,,,Quelques fois par année,Plutôt en accord,Plutôt en désaccord,,,,,,,,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Tout à fait en accord,,,,Dans les transports en commun,,,,,,Plutôt en accord,Tout à fait en accord,Plutôt en accord,Plutôt en accord,Plutôt en désaccord,Plutôt en accord,Tout à fait en accord,Tout à fait en accord,Non,"Oui, rarement","Harcèlement verbal (ex.: insulte, blague de mauvais goût, intimidation)",,,,,,,,Regard insistant,,,Transport en commun,,,,,Rue ou ruelle,,,,Non,,,,Je ne savais pas à qui porter plainte,,,J’ai pensé que ce serait sans effet,,,,Non,,,,Horaires inadéquats,Manque de temps,,,,9,5,4,8,1,10,7,2,6,3,"À travers l’art (mural, festival, etc.)","À travers le nom des rues, des parcs ou des espaces publics",À travers des campagnes d’information et de sensibilisation,À travers des événements soutenus par la Ville,"À travers des communications plus inclusives des communautés LGBTQ+ (publications web, dépliants, etc.)",À travers une plus grande représentation municipale aux événements des communautés LGBTQ+,En invitant les organismes LGBTQ+ aux événements de la Ville de Montréal,En identifiant une personne de la Ville de Montréal chargée de porter le dossier des enjeux LGBTQ+,Par le biais d’un organisme ou d’une association,1 à 3 ans,15 à 24 ans,Homme,Non,Gaie,Universitaire - 1er cycle,Anglais ,Oui,Oui,Non,H3V,10 000 $ à 14 999 $,Oui,Non
451,Oui,Bibliothèques municipales,,Bureaux Accès culture ou Maisons de la culture,Bureaux Accès culture ou Maisons de la culture,,Réseau des parcs de quartier et grands parcs,Jardins communautaires,Ligne téléphonique 311,Une fois par semaine ou plus,Plutôt en désaccord,Tout à fait en désaccord,,,,,,,,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Plutôt en désaccord,Au travail,,,Dans les transports en commun,,,,Autre,,Tout à fait en accord,Plutôt en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,Plutôt en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,Oui,"Oui, quelquefois","Harcèlement verbal (ex.: insulte, blague de mauvais goût, intimidation)",Avance sexuelle non désirée (ex.: avance verbale ou proposition insistante à caractère sexuel non désirée),,,"Agression sexuelle (ex.: acte sexuel non consenti, avec ou sans violence)",Menace de violence physique,"Refus d’être servi dans un commerce (magasin, restaurant ou café)","Mauvais service dans un commerce (magasin, restaurant ou café)",Regard insistant,,,Transport en commun,Piste cyclable,,,Événement extérieur,Rue ou ruelle,Parc ou terrain de sports,Commerce,,Je préfère ne pas répondre,,,,,,,,,,,Non,,Crainte de subir un traitement défavorable ou différencié en raison de mon identité et expression de genre ou de mon orientation sexuelle,Crainte que ma réalité ne soit pas comprise ou prise en considération,,,Manque de confiance dans le processus,,,5,2,3,4,1,6,7,8,9,10,"À travers l’art (mural, festival, etc.)","À travers le nom des rues, des parcs ou des espaces publics",À travers des campagnes d’information et de sensibilisation,À travers des événements soutenus par la Ville,,,En invitant les organismes LGBTQ+ aux événements de la Ville de Montréal,En identifiant une personne de la Ville de Montréal chargée de porter le dossier des enjeux LGBTQ+,Autres (veuillez préciser),Plus de 20 ans,35 à 44 ans,Homme,Non,Gaie,Universitaire - cycles supérieurs,Anglais ,Non,Non,Non,h2l,30 000 $ à 39 999 $,Non,
452,Oui,,Bureaux Accès Montréal,,,,Réseau des parcs de quartier et grands parcs,,Ligne téléphonique 311,Quelques fois par année,Plutôt en accord,Tout à fait en désaccord,,,,,,,,Je ne sais pas,Oui,Oui,Non,Je ne sais pas,Non,Non,Oui,Non,Non,Tout à fait en accord,,,,,,,,,Ne s'applique pas,Plutôt en accord,Plutôt en désaccord,Plutôt en désaccord,Tout à fait en désaccord,Plutôt en désaccord,Plutôt en désaccord,Plutôt en accord,Plutôt en accord,Non,"Non, jamais",,,,,,,,,,,Rien de tout cela ne m’est arrivé dans les vingt quatre derniers mois,,,,,,,,,,,,,,,,,,,,,Non,,,,Horaires inadéquats,Manque de temps,,,,6,5,7,1,8,2,9,4,10,3,,"À travers le nom des rues, des parcs ou des espaces publics",,À travers des événements soutenus par la Ville,,À travers une plus grande représentation municipale aux événements des communautés LGBTQ+,,,Site web de la Ville,Plus de 20 ans,35 à 44 ans,Homme,Non,Gaie,Universitaire - cycles supérieurs,Français ,Non,Non,Non,H3J,150 000 $ et plus,Non,
453,Oui,,,,,,Réseau des parcs de quartier et grands parcs,,Ligne téléphonique 311,Quelques fois par année,Plutôt en accord,Tout à fait en désaccord,,,,,,,,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Non,Tout à fait en accord,,,,,,,,,Ne s'applique pas,Plutôt en désaccord,Plutôt en désaccord,Plutôt en désaccord,Plutôt en désaccord,Plutôt en désaccord,Plutôt en désaccord,Plutôt en désaccord,Plutôt en accord,Non,"Oui, rarement",,,,,,,,,,,Rien de tout cela ne m’est arrivé dans les vingt quatre derniers mois,,,,,,,,,,,,,,,,,,,,,Non,,,,,Manque de temps,,,,1,5,2,4,6,7,8,9,10,3,"À travers l’art (mural, festival, etc.)",,,À travers des événements soutenus par la Ville,,,En invitant les organismes LGBTQ+ aux événements de la Ville de Montréal,En identifiant une personne de la Ville de Montréal chargée de porter le dossier des enjeux LGBTQ+,Autres (veuillez préciser),Plus de 20 ans,45 à 54 ans,Homme,Non,Gaie,Universitaire - 1er cycle,Français ,Non,Non,Non,H2S,150 000 $ et plus,Non,
454,Oui,Bibliothèques municipales,,,,,Réseau des parcs de quartier et grands parcs,,,De une à trois fois par mois,Plutôt en accord,Tout à fait en accord,,,,"Centres sportifs et de loisirs (piscine, terrains de tennis, etc.)",Réseau des parcs de quartier et grands parcs,,,Non,Je ne sais pas,Non,Non,Oui,Oui,Non,Non,Oui,Oui,Plutôt en accord,,,,,,,,,Ne s'applique pas,Plutôt en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,Plutôt en désaccord,Plutôt en accord,Plutôt en accord,Plutôt en accord,Non,"Non, jamais",,Avance sexuelle non désirée (ex.: avance verbale ou proposition insistante à caractère sexuel non désirée),,,,,,"Mauvais service dans un commerce (magasin, restaurant ou café)",Regard insistant,,,,,,,,Rue ou ruelle,,,,Non,Ce n’était pas un acte réprimé par la loi,J’ai pensé que c’était un acte trop banal,,,,,J’ai pensé que ce serait sans effet,,,,Non,,Crainte de subir un traitement défavorable ou différencié en raison de mon identité et expression de genre ou de mon orientation sexuelle,Crainte que ma réalité ne soit pas comprise ou prise en considération,,Manque de temps,,,,2,4,6,5,8,9,10,7,3,1,"À travers l’art (mural, festival, etc.)",,À travers des campagnes d’information et de sensibilisation,À travers des événements soutenus par la Ville,"À travers des communications plus inclusives des communautés LGBTQ+ (publications web, dépliants, etc.)",À travers une plus grande représentation municipale aux événements des communautés LGBTQ+,En invitant les organismes LGBTQ+ aux événements de la Ville de Montréal,En identifiant une personne de la Ville de Montréal chargée de porter le dossier des enjeux LGBTQ+,Autres (veuillez préciser),4 à 10 ans,25 à 34 ans,Femme,Oui,Queer,Universitaire - cycles supérieurs,Anglais ,Oui,Oui,Non,H3N,20 000 $ à 29 999 $,Oui,Non
455,Oui,,,Bureaux Accès culture ou Maisons de la culture,Bureaux Accès culture ou Maisons de la culture,,Réseau des parcs de quartier et grands parcs,,,Quelques fois par année,Plutôt en accord,Plutôt en désaccord,,,,,,,,Oui,Oui,Je ne sais pas,Je ne sais pas,Oui,Oui,Oui,Je ne sais pas,Oui,Oui,Plutôt en accord,,,,Dans les transports en commun,,,,Autre,,Tout à fait en désaccord,Plutôt en désaccord,Plutôt en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,Plutôt en accord,Plutôt en accord,Non,"Oui, quelquefois","Harcèlement verbal (ex.: insulte, blague de mauvais goût, intimidation)",Avance sexuelle non désirée (ex.: avance verbale ou proposition insistante à caractère sexuel non désirée),,,,,,"Mauvais service dans un commerce (magasin, restaurant ou café)",Regard insistant,,,Transport en commun,,,,,Rue ou ruelle,Parc ou terrain de sports,,,Non,,,,,Je ne voulais pas revivre le moment,,J’ai pensé que ce serait sans effet,J’ai pensé que ce serait trop compliqué / me demanderait trop de temps,,,Non,,,,,Manque de temps,,,,3,7,2,10,1,6,4,9,8,5,"À travers l’art (mural, festival, etc.)",,À travers des campagnes d’information et de sensibilisation,À travers des événements soutenus par la Ville,"À travers des communications plus inclusives des communautés LGBTQ+ (publications web, dépliants, etc.)",À travers une plus grande représentation municipale aux événements des communautés LGBTQ+,En invitant les organismes LGBTQ+ aux événements de la Ville de Montréal,En identifiant une personne de la Ville de Montréal chargée de porter le dossier des enjeux LGBTQ+,Par le biais d’un organisme ou d’une association,1 à 3 ans,15 à 24 ans,Femme,Non,Bisexuelle,Collégial,Français ,Non,Non,Non,H1T,40 000 $ à 49 999 $,Oui,Non
456,Non,,,,,,,,,Jamais,,Tout à fait en désaccord,,,,,,,,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Plutôt en accord,,,,,,,,,Ne s'applique pas,Tout à fait en accord,Plutôt en accord,Plutôt en accord,Plutôt en désaccord,Plutôt en accord,Tout à fait en désaccord,Plutôt en accord,Plutôt en accord,Oui,"Oui, rarement",,,,,,,,,,,Rien de tout cela ne m’est arrivé dans les vingt quatre derniers mois,,,,,,,,,,,,,,,,,,,,,Non,,,,,Manque de temps,Manque de confiance dans le processus,,,9,5,2,7,1,8,3,4,10,6,"À travers l’art (mural, festival, etc.)",,À travers des campagnes d’information et de sensibilisation,À travers des événements soutenus par la Ville,"À travers des communications plus inclusives des communautés LGBTQ+ (publications web, dépliants, etc.)",À travers une plus grande représentation municipale aux événements des communautés LGBTQ+,,,Autres (veuillez préciser),11 à 20 ans,35 à 44 ans,Homme,Non,Gaie,Universitaire - 1er cycle,Anglais ,Non,Non,Non,H3b,60 000 $ à 79 999 $,Non,
457,Oui,Bibliothèques municipales,Bureaux Accès Montréal,,,,Réseau des parcs de quartier et grands parcs,,,Quelques fois par année,Plutôt en accord,Plutôt en désaccord,,,,,,,,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Oui,Plutôt en accord,,,,,,,,,Ne s'applique pas,Plutôt en désaccord,Plutôt en désaccord,Plutôt en désaccord,Plutôt en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,Plutôt en désaccord,Plutôt en désaccord,Non,"Oui, quelquefois",,Avance sexuelle non désirée (ex.: avance verbale ou proposition insistante à caractère sexuel non désirée),,,,,,,Regard insistant,,,Transport en commun,,,,,Rue ou ruelle,Parc ou terrain de sports,Commerce,,Non,Ce n’était pas un acte réprimé par la loi,,,,,Je ne voulais pas devoir faire mon «coming out»,,,,,Oui,Non,,Crainte que ma réalité ne soit pas comprise ou prise en considération,Horaires inadéquats,,,,,1,7,2,9,3,6,8,4,10,5,"À travers l’art (mural, festival, etc.)","À travers le nom des rues, des parcs ou des espaces publics",À travers des campagnes d’information et de sensibilisation,À travers des événements soutenus par la Ville,"À travers des communications plus inclusives des communautés LGBTQ+ (publications web, dépliants, etc.)",À travers une plus grande représentation municipale aux événements des communautés LGBTQ+,En invitant les organismes LGBTQ+ aux événements de la Ville de Montréal,En identifiant une personne de la Ville de Montréal chargée de porter le dossier des enjeux LGBTQ+,Par le biais d’un organisme ou d’une association,Plus de 20 ans,15 à 24 ans,Femme,Non,Queer,Universitaire - cycles supérieurs,Français ,Non,Non,Non,h2v,"100 000 $ à 149,999 $",Non,
458,Non,,,,,,,,,Jamais,,Plutôt en accord,Bibliothèques municipales,Bureaux Accès Montréal,Réseau Accès culture ou Maisons de la culture,"Centres sportifs et de loisirs (piscine, terrains de tennis, etc.)",Réseau des parcs de quartier et grands parcs,Jardins communautaires,,Non,Non,Non,Oui,Je ne sais pas,Non,Je ne sais pas,Je ne sais pas,Oui,Non,Plutôt en désaccord,,,,Dans les transports en commun,,,,,,Tout à fait en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,Plutôt en accord,Plutôt en accord,Non,"Oui, souvent","Harcèlement verbal (ex.: insulte, blague de mauvais goût, intimidation)",,Cyberintimidation,,,Menace de violence physique,,,Regard insistant,Autre,,Transport en commun,,,,,Rue ou ruelle,,,"Sur l'internet (ex.: Facebook, courriels, etc)",Non,Ce n’était pas un acte réprimé par la loi,,J’ai eu peur des représailles,,,,,,,,Non,,Crainte de subir un traitement défavorable ou différencié en raison de mon identité et expression de genre ou de mon orientation sexuelle,Crainte que ma réalité ne soit pas comprise ou prise en considération,,Manque de temps,,,,4,3,5,6,8,1,2,7,10,9,,,,,,À travers une plus grande représentation municipale aux événements des communautés LGBTQ+,En invitant les organismes LGBTQ+ aux événements de la Ville de Montréal,,Page Facebook de la Ville,4 à 10 ans,25 à 34 ans,Homme,Non,Gaie,Universitaire - cycles supérieurs,Anglais ,Oui,Oui,Non,H2T,"100 000 $ à 149,999 $",Non,
459,Oui,Bibliothèques municipales,Bureaux Accès Montréal,,,"Centres sportifs et de loisirs (piscines, terrains de tennis, etc.)",,,,Quelques fois par année,Plutôt en accord,Tout à fait en désaccord,,,,,,,,Oui,Oui,Non,Oui,Je ne sais pas,Non,Non,Non,Oui,Non,Plutôt en accord,,,,,,,,,Ne s'applique pas,Plutôt en désaccord,Plutôt en désaccord,Plutôt en désaccord,Plutôt en désaccord,Plutôt en désaccord,Plutôt en désaccord,Plutôt en accord,Plutôt en désaccord,Non,"Oui, rarement",,,,,,,,,,,Rien de tout cela ne m’est arrivé dans les vingt quatre derniers mois,,,,,,,,,,,,,,,,,,,,,Oui,Non,,Crainte que ma réalité ne soit pas comprise ou prise en considération,Horaires inadéquats,Manque de temps,Manque de confiance dans le processus,,,5,8,7,6,3,2,10,9,4,1,"À travers l’art (mural, festival, etc.)","À travers le nom des rues, des parcs ou des espaces publics",,À travers des événements soutenus par la Ville,"À travers des communications plus inclusives des communautés LGBTQ+ (publications web, dépliants, etc.)",,En invitant les organismes LGBTQ+ aux événements de la Ville de Montréal,En identifiant une personne de la Ville de Montréal chargée de porter le dossier des enjeux LGBTQ+,Autres (veuillez préciser),Plus de 20 ans,25 à 34 ans,Femme,Non,Bisexuelle,Universitaire - cycles supérieurs,Anglais ,Non,Oui,Non,H4a,Moins de 5 000 $,Non,
460,Oui,Bibliothèques municipales,,Bureaux Accès culture ou Maisons de la culture,Bureaux Accès culture ou Maisons de la culture,"Centres sportifs et de loisirs (piscines, terrains de tennis, etc.)",Réseau des parcs de quartier et grands parcs,,,De une à trois fois par mois,Plutôt en accord,Tout à fait en accord,,,,,Réseau des parcs de quartier et grands parcs,,,Oui,Oui,Je ne sais pas,Non,Je ne sais pas,Non,Non,Je ne sais pas,Oui,Oui,Plutôt en accord,Au travail,,,Dans les transports en commun,À l'école ou dans une institution académique,,,Autre,,Plutôt en accord,Plutôt en désaccord,Plutôt en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,Plutôt en accord,Plutôt en désaccord,Non,"Oui, quelquefois","Harcèlement verbal (ex.: insulte, blague de mauvais goût, intimidation)",,,Agression physique (ex.: geste portant atteinte à l’intégrité physique),,Menace de violence physique,"Refus d’être servi dans un commerce (magasin, restaurant ou café)",,Regard insistant,,,Transport en commun,,,,,Rue ou ruelle,Parc ou terrain de sports,Commerce,,Non,,,J’ai eu peur des représailles,Je ne savais pas à qui porter plainte,,,J’ai pensé que ce serait sans effet,J’ai pensé que ce serait trop compliqué / me demanderait trop de temps,,,Oui,Non,Crainte de subir un traitement défavorable ou différencié en raison de mon identité et expression de genre ou de mon orientation sexuelle,Crainte que ma réalité ne soit pas comprise ou prise en considération,,,,Accessibilité des lieux (ex.: accès à des toilettes non genrées),,6,4,8,5,1,3,9,10,7,2,"À travers l’art (mural, festival, etc.)","À travers le nom des rues, des parcs ou des espaces publics",À travers des campagnes d’information et de sensibilisation,À travers des événements soutenus par la Ville,"À travers des communications plus inclusives des communautés LGBTQ+ (publications web, dépliants, etc.)",À travers une plus grande représentation municipale aux événements des communautés LGBTQ+,En invitant les organismes LGBTQ+ aux événements de la Ville de Montréal,En identifiant une personne de la Ville de Montréal chargée de porter le dossier des enjeux LGBTQ+,Autres (veuillez préciser),Plus de 20 ans,25 à 34 ans,Non-binaire,Je préfère ne pas répondre,Pansexuelle,Universitaire - cycles supérieurs,Anglais ,Non,Non,Non,H1W,20 000 $ à 29 999 $,Non,
461,Oui,,,,,,Réseau des parcs de quartier et grands parcs,,Ligne téléphonique 311,Quelques fois par année,Plutôt en accord,Tout à fait en désaccord,,,,,,,,Je ne sais pas,Oui,Oui,Non,Oui,Je ne sais pas,Non,Non,Non,Je ne sais pas,Tout à fait en accord,,,,,,,,,Ne s'applique pas,Plutôt en accord,Plutôt en accord,Plutôt en désaccord,Plutôt en accord,Plutôt en désaccord,Plutôt en accord,Plutôt en accord,Plutôt en accord,Non,"Oui, rarement","Harcèlement verbal (ex.: insulte, blague de mauvais goût, intimidation)",Avance sexuelle non désirée (ex.: avance verbale ou proposition insistante à caractère sexuel non désirée),,,,,,,,,,,,,,,Rue ou ruelle,,Commerce,,Non,,,,,,,J’ai pensé que ce serait sans effet,,,,Non,,,,Horaires inadéquats,Manque de temps,,,,1,10,9,4,6,2,7,5,8,3,"À travers l’art (mural, festival, etc.)","À travers le nom des rues, des parcs ou des espaces publics",À travers des campagnes d’information et de sensibilisation,,"À travers des communications plus inclusives des communautés LGBTQ+ (publications web, dépliants, etc.)",À travers une plus grande représentation municipale aux événements des communautés LGBTQ+,En invitant les organismes LGBTQ+ aux événements de la Ville de Montréal,,Page Facebook de la Ville,11 à 20 ans,35 à 44 ans,Homme,Non,Gaie,Collégial,Français ,Non,Non,Non,h1w,60 000 $ à 79 999 $,Non,
462,Non,,,,,,,,,Quelques fois par année,Plutôt en accord,Plutôt en désaccord,,,,,,,,Je ne sais pas,Je ne sais pas,Oui,Oui,Je ne sais pas,Je ne sais pas,Non,Non,Non,Non,Tout à fait en désaccord,,,,,,,,,Ne s'applique pas,Plutôt en accord,,,,,,Plutôt en accord,,Non,"Oui, rarement",,,,,,,,,,,Rien de tout cela ne m’est arrivé dans les vingt quatre derniers mois,,,,,,,,,,,,,,,,,,,,,Non,,,,,Manque de temps,,,,9,2,6,7,5,4,8,10,3,1,"À travers l’art (mural, festival, etc.)","À travers le nom des rues, des parcs ou des espaces publics",À travers des campagnes d’information et de sensibilisation,À travers des événements soutenus par la Ville,"À travers des communications plus inclusives des communautés LGBTQ+ (publications web, dépliants, etc.)",À travers une plus grande représentation municipale aux événements des communautés LGBTQ+,En invitant les organismes LGBTQ+ aux événements de la Ville de Montréal,En identifiant une personne de la Ville de Montréal chargée de porter le dossier des enjeux LGBTQ+,Par une personne de mon entourage,11 à 20 ans,45 à 54 ans,Homme,Non,Gaie,Universitaire - cycles supérieurs,Français ,Non,Non,Non,3Y7,40 000 $ à 49 999 $,Oui,Non
463,Oui,,,,,"Centres sportifs et de loisirs (piscines, terrains de tennis, etc.)",Réseau des parcs de quartier et grands parcs,,,Quelques fois par année,Plutôt en accord,Plutôt en désaccord,,,,,,,,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Plutôt en accord,,,,,,,,Autre,,Plutôt en désaccord,,,,Tout à fait en désaccord,Plutôt en désaccord,Plutôt en désaccord,Plutôt en désaccord,Non,"Oui, rarement","Harcèlement verbal (ex.: insulte, blague de mauvais goût, intimidation)",,,,,,,"Mauvais service dans un commerce (magasin, restaurant ou café)",,,,Transport en commun,,,,,,,Commerce,,Non,Ce n’était pas un acte réprimé par la loi,,,,,,J’ai pensé que ce serait sans effet,,,,Non,,,,,,,,,3,4,5,6,8,7,1,10,9,2,"À travers l’art (mural, festival, etc.)",,,À travers des événements soutenus par la Ville,,À travers une plus grande représentation municipale aux événements des communautés LGBTQ+,En invitant les organismes LGBTQ+ aux événements de la Ville de Montréal,En identifiant une personne de la Ville de Montréal chargée de porter le dossier des enjeux LGBTQ+,Par une personne de mon entourage,11 à 20 ans,45 à 54 ans,Homme,Non,Gaie,Universitaire - cycles supérieurs,Anglais ,Non,Non,Non,H2l,"100 000 $ à 149,999 $",Non,
464,Oui,Bibliothèques municipales,,,,,Réseau des parcs de quartier et grands parcs,Jardins communautaires,,Quelques fois par année,Tout à fait en accord,Tout à fait en désaccord,,,,,,,,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Tout à fait en accord,,,,,,,,,Ne s'applique pas,Tout à fait en accord,Tout à fait en accord,Tout à fait en accord,Tout à fait en accord,Tout à fait en accord,Tout à fait en accord,Tout à fait en accord,Tout à fait en accord,Oui,"Oui, rarement",,,,,,,,,Regard insistant,,,,,,,,Rue ou ruelle,,,,Non,Ce n’était pas un acte réprimé par la loi,J’ai pensé que c’était un acte trop banal,,,,,,,,,Non,,,,,Manque de temps,,,,7,1,3,2,9,4,10,6,8,5,"À travers l’art (mural, festival, etc.)","À travers le nom des rues, des parcs ou des espaces publics",À travers des campagnes d’information et de sensibilisation,À travers des événements soutenus par la Ville,"À travers des communications plus inclusives des communautés LGBTQ+ (publications web, dépliants, etc.)",À travers une plus grande représentation municipale aux événements des communautés LGBTQ+,En invitant les organismes LGBTQ+ aux événements de la Ville de Montréal,En identifiant une personne de la Ville de Montréal chargée de porter le dossier des enjeux LGBTQ+,Par le biais d’un organisme ou d’une association,Plus de 20 ans,25 à 34 ans,Femme,Non,Bisexuelle,Collégial,Français ,Non,Non,Non,H1T,"100 000 $ à 149,999 $",Oui,Non
465,Oui,Bibliothèques municipales,,Bureaux Accès culture ou Maisons de la culture,Bureaux Accès culture ou Maisons de la culture,,Réseau des parcs de quartier et grands parcs,,,De une à trois fois par mois,Plutôt en désaccord,Tout à fait en désaccord,,,,,,,,Je ne sais pas,Je ne sais pas,Oui,Non,Je ne sais pas,Je ne sais pas,Je ne sais pas,Non,Oui,Je ne sais pas,Tout à fait en accord,,,,,,,,,Ne s'applique pas,Plutôt en accord,Plutôt en accord,Plutôt en accord,Plutôt en accord,Plutôt en accord,Tout à fait en désaccord,Plutôt en accord,Plutôt en accord,Oui,"Oui, quelquefois",,,,,,,,,,,Rien de tout cela ne m’est arrivé dans les vingt quatre derniers mois,,,,,,,,,,,,,,,,,,,,,Non,,,,,,Manque de confiance dans le processus,,,3,1,4,10,9,5,7,6,8,2,"À travers l’art (mural, festival, etc.)","À travers le nom des rues, des parcs ou des espaces publics",À travers des campagnes d’information et de sensibilisation,À travers des événements soutenus par la Ville,"À travers des communications plus inclusives des communautés LGBTQ+ (publications web, dépliants, etc.)",À travers une plus grande représentation municipale aux événements des communautés LGBTQ+,En invitant les organismes LGBTQ+ aux événements de la Ville de Montréal,En identifiant une personne de la Ville de Montréal chargée de porter le dossier des enjeux LGBTQ+,Page Facebook de la Ville,Plus de 20 ans,55 à 64 ans,Homme,Non,Gaie,Universitaire - 1er cycle,Anglais ,Non,Oui,Non,H2Y,60 000 $ à 79 999 $,Oui,Non
